3-9 GROSS DOMESTIC PRODUCT BY REGION (1998),,,,,,,,,,,,,,,,,,,,,,,,,
Absolute figures in this table are calculated at current prices while indices are calculated at comparable prices.,,,,,,,,,,,,,,,,,,,,,,,,,
Unit：100 million yuan,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Domestic Product,,,,,,,,,,,,,,,,,,Composition ％,,,Indices 1997=100,,,
Fujian,3330.18,610.04,1444.73,1208.75,235.98,1275.41,5.85,5.61,347.25,332.59,157.32,172.48,115.16,33.80,77.27,8.69,79.01,8.24,18.3,43.4,38.3,111.4,105.0,113.9,111.0
Jiangxi,1851.98,450.44,740.33,609.26,131.07,661.21,6.70,6.80,145.40,143.54,97.40,100.50,43.28,17.71,51.03,5.41,62.03,18.25,24.3,40.0,35.7,108.2,96.2,113.1,112.5
Shandong,7162.20,1215.81,3457.03,3052.44,404.59,2489.36,10.80,11.73,442.20,665.33,411.89,429.88,115.07,87.45,145.25,21.39,187.77,110.20,17.0,48.3,34.8,110.8,105.6,112.0,111.6
,,,,,,,,,,,,,,,,,,,,,,,,,
Henan,4356.60,1071.39,2012.74,1742.18,270.56,1272.47,4.16,22.51,299.63,316.81,132.57,139.76,84.79,53.93,84.23,12.36,116.89,10.38,24.6,46.2,29.2,108.7,107.0,109.2,109.4
Hubei,3704.21,748.22,1752.91,1579.26,173.65,1203.08,4.64,7.65,195.56,373.04,161.84,180.14,101.58,58.00,80.53,21.61,100.69,5.16,20.2,47.3,32.5,110.3,100.2,113.1,112.8
Hunan,3211.40,828.31,1294.17,1117.61,176.56,1088.92,07.08,10.99,216.49,291.73,119.22,125.62,47.05,48.19,97.97,12.07,139.39,16.67,25.8,40.3,33.9,109.1,100.9,112.6,111.0
Guangdong,7919.12,1004.92,3991.97,3463.12,528.85,2922.23,16.30,24.10,688.83,827.16,271.07,268.20,331.55,71.44,146.15,23.38,145.77,16.52,12.7,50.4,36.9,110.2,103.9,112.2,108.7
Guangxi,1903.04,574.25,678.19,569.90,108.29,650.60,04.01,4.00,125.04,243.50,52.06,31.22,47.25,25.59,55.27,4.49,60.13,13.64,30.2,35.6,34.2,109.1,105.8,114.1,106.4
Hainan,438.92,164.00,90.63,55.70,34.93,184.29,0.80,02.07,35.03,60.90,29.20,30.14,20.22,4.22,12.19,1.30,9.29,0.27,37.4,20.6,42.0,108.3,108.3,109.0,108.0
,,,,,,,,,,,,,,,,,,,,,,,,,
Chongqing,1429.26,298.67,585.38,480.88,104.50,545.21,4.42,2.11,78.93,138.43,68.31,73.84,79.98,18.42,43.30,20.01,48.48,0.72,20.9,41.0,38.1,108.4,102.4,107.1,114.3
Sichuan,3580.26,941.24,1527.07,1272.41,254.66,1111.95,11.18,9.42,196.27,328.46,204.49,144.45,101.21,43.01,74.22,15.85,90.60,11.05,26.3,42.7,31.1,109.1,104.1,112.0,108.9
Guizhou,841.88,264.89,326.03,273.16,52.87,250.96,02.01,02.03,25.04,69.97,40.86,36.45,27.02,13.80,26.83,2.86,25.63,6.76,31.5,38.7,29.8,108.5,101.5,111.9,110.5
Yunnan,1793.90,408.43,828.37,699.46,128.91,557.10,6.43,06.08,88.90,170.15,88.86,89.84,33.66,29.20,51.25,8.60,40.47,4.81,22.8,46.2,31.1,108.0,103.0,109.5,109.6
Tibet,91.18,31.31,20.24,09.02,11.22,39.63,1.91,0.98,05.08,11.13,0.67,1.69,1.94,2.95,05.02,0.89,7.59,0.17,34.3,22.2,43.5,110.2,101.7,116.8,115.6
,,,,,,,,,,,,,,,,,,,,,,,,,
Shaanxi,1381.53,283.49,567.66,445.35,122.31,530.38,5.49,9.90,115.42,94.63,76.57,53.14,47.88,22.08,56.97,14.02,48.64,38.17,20.5,41.1,38.4,109.1,107.9,112.4,105.1
Gansu,869.75,202.21,382.00,311.80,70.20,285.54,3.97,7.80,39.32,99.23,41.64,50.55,11.41,8.81,15.98,6.33,16.46,07.02,23.2,43.9,32.8,109.2,105.1,109.4,111.2
Qinghai,220.16,41.63,88.42,63.44,24.98,90.11,1.31,03.08,13.67,18.79,18.37,18.57,3.15,3.14,8.66,1.26,14.30,1.20,18.9,40.2,40.9,109.0,103.5,111.2,109.0
Ningxia,227.46,48.69,94.01,76.07,17.94,84.76,1.10,2.10,16.11,19.64,17.85,16.52,4.16,03.03,6.76,01.06,7.52,3.18,21.4,41.3,37.3,108.5,109.8,107.7,108.9
Xinjiang,1116.67,291.05,430.73,300.00,130.73,394.89,4.58,10.35,92.03,103.34,49.19,50.20,28.14,11.82,37.95,4.52,39.49,3.53,26.1,38.6,35.4,107.3,107.2,106.7,108.1
